id,section_name,deficiency_category,inspected_item_name,risk_percentage,cost_in_usd,is_delete,created_at,updated_at
1,I. Structural Systems,Immediate Maintenance,Wallboard Damages/Voids,50.87,901.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
2,I. Structural Systems,Immediate Maintenance,Roof Flashings Damaged,49.13,345.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
3,IV. Plumbing Systems,High Cost/Hidden Defects,Belly in Main Drain Pipe,4.7,2211.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
4,"III. Heating, Ventilation and Air Conditioning Systems",High Cost/Hidden Defects,Evaluate/Balance HVAC Zones,4.4,640.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
5,IV. Plumbing Systems,High Cost/Hidden Defects,Install/Repair Clean Out Riser/Cap,4.07,1433.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
6,IV. Plumbing Systems,High Cost/Hidden Defects,Cast Iron Drainpipes Present,3.97,12023.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
7,II. Electrical Systems,High Cost/Hidden Defects,Circuit Wiring Deficiencies,3.68,887.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
8,"III. Heating, Ventilation and Air Conditioning Systems",High Cost/Hidden Defects,HVAC Operational Service Life Reached,3.44,10466.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
9,"III. Heating, Ventilation and Air Conditioning Systems",High Cost/Hidden Defects,Thermostat Has No Power,2.71,7186.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
10,V. Appliances,High Cost/Hidden Defects,Inoperable Mechanical Vent,2.57,800.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
11,II. Electrical Systems,High Cost/Hidden Defects,Damaged Breaker,2.57,887.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
12,I. Structural Systems,High Cost/Hidden Defects,Metal Roofing Repairs/Replacement,2.37,12783.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
13,VI. Optional Systems,High Cost/Hidden Defects,Irrigation System Leak,2.32,506.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
14,IV. Plumbing Systems,High Cost/Hidden Defects,Galvanized Plumbing Supply,2.32,6602.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
15,I. Structural Systems,High Cost/Hidden Defects,Water Damaged Flooring,2.23,806.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
16,"III. Heating, Ventilation and Air Conditioning Systems",High Cost/Hidden Defects,Missing/Insufficient Return Air System,2.13,599.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
17,I. Structural Systems,Immediate Maintenance,Door - Out of Square,45.06,564.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
18,II. Electrical Systems,Immediate Maintenance,Access Panels/Covers Damaged,43.76,462.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
19,I. Structural Systems,Immediate Maintenance,Grading - Improper Drainage,40.71,768.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
20,I. Structural Systems,Immediate Maintenance,Concrete/Asphalt - Damages Present,39.21,873.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
21,I. Structural Systems,Immediate Maintenance,Interior Wallboard Repairs,36.59,1315.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
22,I. Structural Systems,High Cost/Hidden Defects,Insufficient/Missing Insulation,33.01,1137.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
23,I. Structural Systems,Immediate Maintenance,Facia/Trim Damages,31.99,921.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
