id,category_id,search_term,type,is_delete,created_at,updated_at
1,1,I. Structural Systems,report_data_categorization,0,2025-03-03 11:02:13,2025-03-10 22:00:30
2,2,II. Electrical Systems,report_data_categorization,0,2025-03-03 11:02:34,2025-03-10 22:00:30
3,3,"III. Heating, Ventilation and Air Conditioning Systems",report_data_categorization,0,2025-03-03 11:02:49,2025-03-10 22:00:30
4,4,IV. Plumbing Systems,report_data_categorization,0,2025-03-03 11:03:09,2025-03-10 22:00:30
5,5,V. Appliances,report_data_categorization,0,2025-03-03 11:03:30,2025-03-10 22:00:30
6,6,VI. Optional Systems,report_data_categorization,0,2025-03-03 11:03:40,2025-03-10 22:00:30
7,7,A. Foundations,report_data_categorization,0,2025-03-03 11:04:19,2025-03-10 22:00:30
8,8,B. Grading and Drainage,report_data_categorization,0,2025-03-03 11:04:27,2025-03-10 22:00:30
9,9,C. Roof Covering Materials,report_data_categorization,0,2025-03-03 11:04:27,2025-03-10 22:00:30
10,10,D. Roof Structures AND Attics,report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
11,11,E. Walls (Interior AND Exterior),report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
12,12,F. Ceilings AND Floors,report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
13,13,G. Doors (Interior AND Exterior),report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
14,14,H. Windows,report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
15,15,I. Stairways (Interior AND Exterior),report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
16,16,J. Fireplaces AND Chimneys,report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
17,17,"K. Porches, Balconies, Decks, AND Carports",report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
18,18,L. Other,report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
19,19,A. Service Entrance AND Panels,report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
20,20,"B. Branch Circuits, Connected Devices, AND Fixtures",report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
21,21,C. Other,report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
22,22,A. Heating Equipment,report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
23,23,B. Cooling Equipment,report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
24,24,"C. Duct Systems, Chases, AND Vents",report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
25,25,D. Other,report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
26,26,"A. Plumbing Supply, Distribution Systems, AND Fixtures",report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
27,27,"B. Drains, Wastes, & Vents",report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
28,27,"B. Drains, Wastes, AND Vents",report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
29,28,C. Water Heating Equipment,report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
30,29,D. Hydro,report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
31,30,F. Gas Distribution Systems AND Gas Appliances,report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
32,31,IV. Plumbing Systems: F. Other,report_data_categorization,0,2025-03-03 11:12:00,2025-03-15 15:04:57
33,32,A. Dishwashers,report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
34,33,B. Food Waste Disposers,report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
35,34,C. RANGE Hood AND Exhaust Systems,report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
36,35,"D. Ranges, Cooktops, AND Ovens",report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
37,36,E. Microwave Ovens,report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
38,37,F. Mechanical Exhaust Vents AND Bathroom Heaters,report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
39,38,G. Garage Door Operators,report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
40,39,H. Dryer Exhaust Systems,report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
41,40,I. Other,report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
42,41,A. Landscape Irrigation (Sprinkler) Systems,report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
43,42,"B. Swimming Pools, Spas, Hot Tubs, AND Equipment",report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
44,43,C. Outbuildings,report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
45,44,D. Private Water Wells,report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
46,45,E. Private Sewage Disposal Systems,report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
47,46,F. Other Built-IN Appliances,report_data_categorization,0,2025-03-03 11:12:00,2025-03-10 22:00:30
